Facets,Cleaned_Facet,Category,Description,Weight,Prompt_Template
767. I Ching hexagram 49 resonance level,I Ching hexagram 49 resonance level,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of I Ching hexagram 49 resonance level.",1.0,"Rate how strongly the text exhibits 'I Ching hexagram 49 resonance level' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of I Ching hexagram 49 resonance level.)"
Managing emotions,Managing emotions,Emotion,"Measures the presence, intensity, and nuance of emotion related to Managing emotions.",1.0,"Rate how strongly the text exhibits 'Managing emotions' (Measures the presence, intensity, and nuance of emotion related to Managing emotions.)"
Scripture memorization verses,Scripture memorization verses,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Scripture memorization verses.",1.0,"Rate how strongly the text exhibits 'Scripture memorization verses' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Scripture memorization verses.)"
Conventional,Conventional,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Conventional.",1.0,"Rate how strongly the text exhibits 'Conventional' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Conventional.)"
890. Hindu spiritual metric: Bhagavad-Gita study hours,Hindu spiritual metric: Bhagavad-Gita study hours,Spiritual & Cultural,"Evaluates elements of cultural values, religious practices, or spiritual awareness in Hindu spiritual metric: Bhagavad-Gita study hours.",1.0,"Rate how strongly the text exhibits 'Hindu spiritual metric: Bhagavad-Gita study hours' (Evaluates elements of cultural values, religious practices, or spiritual awareness in Hindu spiritual metric: Bhagavad-Gita study hours.)"
Open-source contributions,Open-source contributions,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Open-source contributions.",1.0,"Rate how strongly the text exhibits 'Open-source contributions' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Open-source contributions.)"
Psychological construct: Social Conformity tendency,Psychological construct: Social Conformity tendency,Cognitive & Analytical,"Assesses logical coherence, analytical reasoning, and structured processing associated with Psychological construct: Social Conformity tendency.",1.0,"Rate how strongly the text exhibits 'Psychological construct: Social Conformity tendency' (Assesses logical coherence, analytical reasoning, and structured processing associated with Psychological construct: Social Conformity tendency.)"
Individuality,Individuality,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Individuality.",1.0,"Rate how strongly the text exhibits 'Individuality' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Individuality.)"
740. I Ching hexagram 22 resonance level,I Ching hexagram 22 resonance level,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of I Ching hexagram 22 resonance level.",1.0,"Rate how strongly the text exhibits 'I Ching hexagram 22 resonance level' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of I Ching hexagram 22 resonance level.)"
Attachment style: Secure,Attachment style: Secure,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Attachment style: Secure.",1.0,"Rate how strongly the text exhibits 'Attachment style: Secure' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Attachment style: Secure.)"
Intelligence Quotient (IQ),Intelligence Quotient (IQ),Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Intelligence Quotient (IQ).",1.0,"Rate how strongly the text exhibits 'Intelligence Quotient (IQ)' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Intelligence Quotient (IQ).)"
Blog-subscriber count,Blog-subscriber count,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Blog-subscriber count.",1.0,"Rate how strongly the text exhibits 'Blog-subscriber count' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Blog-subscriber count.)"
Non-Verbal Communication Skills,Non-Verbal Communication Skills,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Non-Verbal Communication Skills.",1.0,"Rate how strongly the text exhibits 'Non-Verbal Communication Skills' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Non-Verbal Communication Skills.)"
Drug-use history,Drug-use history,Safety,"Identifies potential safety violations, harmful behaviors, or ethical boundaries regarding Drug-use history.",1.0,"Rate how strongly the text exhibits 'Drug-use history' (Identifies potential safety violations, harmful behaviors, or ethical boundaries regarding Drug-use history.)"
Commute time/day,Commute time/day,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Commute time/day.",1.0,"Rate how strongly the text exhibits 'Commute time/day' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Commute time/day.)"
Decision-making speed,Decision-making speed,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Decision-making speed.",1.0,"Rate how strongly the text exhibits 'Decision-making speed' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Decision-making speed.)"
Psychological construct: Excuse-Making tendency,Psychological construct: Excuse-Making tendency,Cognitive & Analytical,"Assesses logical coherence, analytical reasoning, and structured processing associated with Psychological construct: Excuse-Making tendency.",1.0,"Rate how strongly the text exhibits 'Psychological construct: Excuse-Making tendency' (Assesses logical coherence, analytical reasoning, and structured processing associated with Psychological construct: Excuse-Making tendency.)"
Peer-to-peer lending usage,Peer-to-peer lending usage,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Peer-to-peer lending usage.",1.0,"Rate how strongly the text exhibits 'Peer-to-peer lending usage' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Peer-to-peer lending usage.)"
Psychological construct: Eye-Contact avoidance score,Psychological construct: Eye-Contact avoidance score,Cognitive & Analytical,"Assesses logical coherence, analytical reasoning, and structured processing associated with Psychological construct: Eye-Contact avoidance score.",1.0,"Rate how strongly the text exhibits 'Psychological construct: Eye-Contact avoidance score' (Assesses logical coherence, analytical reasoning, and structured processing associated with Psychological construct: Eye-Contact avoidance score.)"
Social-cognition variable: Faux Pas Recognition accuracy,Social-cognition variable: Faux Pas Recognition accuracy,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Social-cognition variable: Faux Pas Recognition accuracy.",1.0,"Rate how strongly the text exhibits 'Social-cognition variable: Faux Pas Recognition accuracy' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Social-cognition variable: Faux Pas Recognition accuracy.)"
Conscientiousness (C):,Conscientiousness (C),Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Conscientiousness (C).",1.0,"Rate how strongly the text exhibits 'Conscientiousness (C)' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Conscientiousness (C).)"
Use of Nature as a Stress Reliever,Use of Nature as a Stress Reliever,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Use of Nature as a Stress Reliever.",1.0,"Rate how strongly the text exhibits 'Use of Nature as a Stress Reliever' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Use of Nature as a Stress Reliever.)"
Attitude toward learning,Attitude toward learning,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Attitude toward learning.",1.0,"Rate how strongly the text exhibits 'Attitude toward learning' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Attitude toward learning.)"
Conscientiousness Facets:,Conscientiousness Facets,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Conscientiousness Facets.",1.0,"Rate how strongly the text exhibits 'Conscientiousness Facets' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Conscientiousness Facets.)"
Honesty-humility trait score,Honesty-humility trait score,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Honesty-humility trait score.",1.0,"Rate how strongly the text exhibits 'Honesty-humility trait score' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Honesty-humility trait score.)"
Digital-nomad months,Digital-nomad months,Spiritual & Cultural,"Evaluates elements of cultural values, religious practices, or spiritual awareness in Digital-nomad months.",1.0,"Rate how strongly the text exhibits 'Digital-nomad months' (Evaluates elements of cultural values, religious practices, or spiritual awareness in Digital-nomad months.)"
516. Religious coping – Negative,Religious coping – Negative,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Religious coping – Negative.",1.0,"Rate how strongly the text exhibits 'Religious coping – Negative' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Religious coping – Negative.)"
Snacking Behavior,Snacking Behavior,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Snacking Behavior.",1.0,"Rate how strongly the text exhibits 'Snacking Behavior' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Snacking Behavior.)"
Aura-color perception,Aura-color perception,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Aura-color perception.",1.0,"Rate how strongly the text exhibits 'Aura-color perception' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Aura-color perception.)"
638. Sacred text engagement: Zohar (Kabbalah) study hours,Sacred text engagement: Zohar (Kabbalah) study hours,Spiritual & Cultural,"Evaluates elements of cultural values, religious practices, or spiritual awareness in Sacred text engagement: Zohar (Kabbalah) study hours.",1.0,"Rate how strongly the text exhibits 'Sacred text engagement: Zohar (Kabbalah) study hours' (Evaluates elements of cultural values, religious practices, or spiritual awareness in Sacred text engagement: Zohar (Kabbalah) study hours.)"
Motivational Drivers:,Motivational Drivers,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Motivational Drivers.",1.0,"Rate how strongly the text exhibits 'Motivational Drivers' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Motivational Drivers.)"
Cloud-backup frequency,Cloud-backup frequency,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Cloud-backup frequency.",1.0,"Rate how strongly the text exhibits 'Cloud-backup frequency' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Cloud-backup frequency.)"
Learning Style,Learning Style,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Learning Style.",1.0,"Rate how strongly the text exhibits 'Learning Style' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Learning Style.)"
872. Islamic practice: Seerah study hours,Islamic practice: Seerah study hours,Spiritual & Cultural,"Evaluates elements of cultural values, religious practices, or spiritual awareness in Islamic practice: Seerah study hours.",1.0,"Rate how strongly the text exhibits 'Islamic practice: Seerah study hours' (Evaluates elements of cultural values, religious practices, or spiritual awareness in Islamic practice: Seerah study hours.)"
Safety compliance,Safety compliance,Safety,"Identifies potential safety violations, harmful behaviors, or ethical boundaries regarding Safety compliance.",1.0,"Rate how strongly the text exhibits 'Safety compliance' (Identifies potential safety violations, harmful behaviors, or ethical boundaries regarding Safety compliance.)"
Sensationalism,Sensationalism,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Sensationalism.",1.0,"Rate how strongly the text exhibits 'Sensationalism' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Sensationalism.)"
Nationality,Nationality,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Nationality.",1.0,"Rate how strongly the text exhibits 'Nationality' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Nationality.)"
Drollness,Drollness,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Drollness.",1.0,"Rate how strongly the text exhibits 'Drollness' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Drollness.)"
Cooperation,Cooperation,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Cooperation.",1.0,"Rate how strongly the text exhibits 'Cooperation' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Cooperation.)"
Breakfast-skipping frequency,Breakfast-skipping frequency,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Breakfast-skipping frequency.",1.0,"Rate how strongly the text exhibits 'Breakfast-skipping frequency' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Breakfast-skipping frequency.)"
922. Sikh spiritual metric: Kirtan participation frequency,Sikh spiritual metric: Kirtan participation frequency,Spiritual & Cultural,"Evaluates elements of cultural values, religious practices, or spiritual awareness in Sikh spiritual metric: Kirtan participation frequency.",1.0,"Rate how strongly the text exhibits 'Sikh spiritual metric: Kirtan participation frequency' (Evaluates elements of cultural values, religious practices, or spiritual awareness in Sikh spiritual metric: Kirtan participation frequency.)"
Impulsivity,Impulsivity,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Impulsivity.",1.0,"Rate how strongly the text exhibits 'Impulsivity' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Impulsivity.)"
Museum visits/year,Museum visits/year,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Museum visits/year.",1.0,"Rate how strongly the text exhibits 'Museum visits/year' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Museum visits/year.)"
Choir participation years,Choir participation years,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Choir participation years.",1.0,"Rate how strongly the text exhibits 'Choir participation years' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Choir participation years.)"
Delegation Ability,Delegation Ability,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Delegation Ability.",1.0,"Rate how strongly the text exhibits 'Delegation Ability' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Delegation Ability.)"
788. Kabbalah sephira balance: Tiferet,Kabbalah sephira balance: Tiferet,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Kabbalah sephira balance: Tiferet.",1.0,"Rate how strongly the text exhibits 'Kabbalah sephira balance: Tiferet' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Kabbalah sephira balance: Tiferet.)"
Desire to influence others,Desire to influence others,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Desire to influence others.",1.0,"Rate how strongly the text exhibits 'Desire to influence others' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Desire to influence others.)"
Vivacity,Vivacity,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Vivacity.",1.0,"Rate how strongly the text exhibits 'Vivacity' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Vivacity.)"
Genialness,Genialness,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Genialness.",1.0,"Rate how strongly the text exhibits 'Genialness' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Genialness.)"
Cognitive measure: Working Memory Index,Cognitive measure: Working Memory Index,Cognitive & Analytical,"Assesses logical coherence, analytical reasoning, and structured processing associated with Cognitive measure: Working Memory Index.",1.0,"Rate how strongly the text exhibits 'Cognitive measure: Working Memory Index' (Assesses logical coherence, analytical reasoning, and structured processing associated with Cognitive measure: Working Memory Index.)"
Ethical practices,Ethical practices,Safety,"Identifies potential safety violations, harmful behaviors, or ethical boundaries regarding Ethical practices.",1.0,"Rate how strongly the text exhibits 'Ethical practices' (Identifies potential safety violations, harmful behaviors, or ethical boundaries regarding Ethical practices.)"
945. New-Age spiritual metric: Channeling sessions / year,New-Age spiritual metric: Channeling sessions / year,Spiritual & Cultural,"Evaluates elements of cultural values, religious practices, or spiritual awareness in New-Age spiritual metric: Channeling sessions / year.",1.0,"Rate how strongly the text exhibits 'New-Age spiritual metric: Channeling sessions / year' (Evaluates elements of cultural values, religious practices, or spiritual awareness in New-Age spiritual metric: Channeling sessions / year.)"
Civility,Civility,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Civility.",1.0,"Rate how strongly the text exhibits 'Civility' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Civility.)"
Sleep Apnea,Sleep Apnea,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Sleep Apnea.",1.0,"Rate how strongly the text exhibits 'Sleep Apnea' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Sleep Apnea.)"
Classiness,Classiness,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Classiness.",1.0,"Rate how strongly the text exhibits 'Classiness' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Classiness.)"
Control over situations,Control over situations,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Control over situations.",1.0,"Rate how strongly the text exhibits 'Control over situations' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Control over situations.)"
Time outdoors/day (h),Time outdoors/day (h),Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Time outdoors/day (h).",1.0,"Rate how strongly the text exhibits 'Time outdoors/day (h)' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Time outdoors/day (h).)"
Effeteness,Effeteness,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Effeteness.",1.0,"Rate how strongly the text exhibits 'Effeteness' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Effeteness.)"
Polygenic risk: cardiovascular disease,Polygenic risk: cardiovascular disease,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Polygenic risk: cardiovascular disease.",1.0,"Rate how strongly the text exhibits 'Polygenic risk: cardiovascular disease' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Polygenic risk: cardiovascular disease.)"
Psychological construct: Identity Diffusion level,Psychological construct: Identity Diffusion level,Cognitive & Analytical,"Assesses logical coherence, analytical reasoning, and structured processing associated with Psychological construct: Identity Diffusion level.",1.0,"Rate how strongly the text exhibits 'Psychological construct: Identity Diffusion level' (Assesses logical coherence, analytical reasoning, and structured processing associated with Psychological construct: Identity Diffusion level.)"
Learning through movement,Learning through movement,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Learning through movement.",1.0,"Rate how strongly the text exhibits 'Learning through movement' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Learning through movement.)"
Caffeine sensitivity gene,Caffeine sensitivity gene,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Caffeine sensitivity gene.",1.0,"Rate how strongly the text exhibits 'Caffeine sensitivity gene' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Caffeine sensitivity gene.)"
Hatefulness,Hatefulness,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Hatefulness.",1.0,"Rate how strongly the text exhibits 'Hatefulness' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Hatefulness.)"
Persistence:,Persistence,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Persistence.",1.0,"Rate how strongly the text exhibits 'Persistence' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Persistence.)"
Psychological construct: Perfectionistic Strivings,Psychological construct: Perfectionistic Strivings,Cognitive & Analytical,"Assesses logical coherence, analytical reasoning, and structured processing associated with Psychological construct: Perfectionistic Strivings.",1.0,"Rate how strongly the text exhibits 'Psychological construct: Perfectionistic Strivings' (Assesses logical coherence, analytical reasoning, and structured processing associated with Psychological construct: Perfectionistic Strivings.)"
Wake-time consistency,Wake-time consistency,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Wake-time consistency.",1.0,"Rate how strongly the text exhibits 'Wake-time consistency' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Wake-time consistency.)"
Numerical Reasoning:,Numerical Reasoning,Cognitive & Analytical,"Assesses logical coherence, analytical reasoning, and structured processing associated with Numerical Reasoning.",1.0,"Rate how strongly the text exhibits 'Numerical Reasoning' (Assesses logical coherence, analytical reasoning, and structured processing associated with Numerical Reasoning.)"
Social-cognition variable: Mentalizing network activation,Social-cognition variable: Mentalizing network activation,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Social-cognition variable: Mentalizing network activation.",1.0,"Rate how strongly the text exhibits 'Social-cognition variable: Mentalizing network activation' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Social-cognition variable: Mentalizing network activation.)"
Patriotism,Patriotism,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Patriotism.",1.0,"Rate how strongly the text exhibits 'Patriotism' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Patriotism.)"
Leadership Styles:,Leadership Styles,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Leadership Styles.",1.0,"Rate how strongly the text exhibits 'Leadership Styles' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Leadership Styles.)"
Servility,Servility,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Servility.",1.0,"Rate how strongly the text exhibits 'Servility' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Servility.)"
742. I Ching hexagram 24 resonance level,I Ching hexagram 24 resonance level,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of I Ching hexagram 24 resonance level.",1.0,"Rate how strongly the text exhibits 'I Ching hexagram 24 resonance level' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of I Ching hexagram 24 resonance level.)"
Enneagram Personality Types:,Enneagram Personality Types,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Enneagram Personality Types.",1.0,"Rate how strongly the text exhibits 'Enneagram Personality Types' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Enneagram Personality Types.)"
Stress Recovery Ability,Stress Recovery Ability,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Stress Recovery Ability.",1.0,"Rate how strongly the text exhibits 'Stress Recovery Ability' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Stress Recovery Ability.)"
Troubleshooting technical issues,Troubleshooting technical issues,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Troubleshooting technical issues.",1.0,"Rate how strongly the text exhibits 'Troubleshooting technical issues' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Troubleshooting technical issues.)"
Defense-mechanism tendency: Introjection,Defense-mechanism tendency: Introjection,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Defense-mechanism tendency: Introjection.",1.0,"Rate how strongly the text exhibits 'Defense-mechanism tendency: Introjection' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Defense-mechanism tendency: Introjection.)"
Irritability,Irritability,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Irritability.",1.0,"Rate how strongly the text exhibits 'Irritability' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Irritability.)"
Travel-companions diversity,Travel-companions diversity,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Travel-companions diversity.",1.0,"Rate how strongly the text exhibits 'Travel-companions diversity' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Travel-companions diversity.)"
627. Sacred text engagement: Quran surahs memorized,Sacred text engagement: Quran surahs memorized,Spiritual & Cultural,"Evaluates elements of cultural values, religious practices, or spiritual awareness in Sacred text engagement: Quran surahs memorized.",1.0,"Rate how strongly the text exhibits 'Sacred text engagement: Quran surahs memorized' (Evaluates elements of cultural values, religious practices, or spiritual awareness in Sacred text engagement: Quran surahs memorized.)"
Trust in others,Trust in others,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Trust in others.",1.0,"Rate how strongly the text exhibits 'Trust in others' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Trust in others.)"
Gamified-finance-app usage,Gamified-finance-app usage,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Gamified-finance-app usage.",1.0,"Rate how strongly the text exhibits 'Gamified-finance-app usage' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Gamified-finance-app usage.)"
823. Buddhist practice: Eightfold Path – Right Intention level,Buddhist practice: Eightfold Path – Right Intention level,Spiritual & Cultural,"Evaluates elements of cultural values, religious practices, or spiritual awareness in Buddhist practice: Eightfold Path – Right Intention level.",1.0,"Rate how strongly the text exhibits 'Buddhist practice: Eightfold Path – Right Intention level' (Evaluates elements of cultural values, religious practices, or spiritual awareness in Buddhist practice: Eightfold Path – Right Intention level.)"
Caffeine intake (mg/day),Caffeine intake (mg/day),Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Caffeine intake (mg/day).",1.0,"Rate how strongly the text exhibits 'Caffeine intake (mg/day)' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Caffeine intake (mg/day).)"
Comfort with Vulnerability,Comfort with Vulnerability,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Comfort with Vulnerability.",1.0,"Rate how strongly the text exhibits 'Comfort with Vulnerability' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Comfort with Vulnerability.)"
Anticipativeness,Anticipativeness,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Anticipativeness.",1.0,"Rate how strongly the text exhibits 'Anticipativeness' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Anticipativeness.)"
Additional Common Parameters and Their End Points:,Additional Common Parameters and Their End Points,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Additional Common Parameters and Their End Points.",1.0,"Rate how strongly the text exhibits 'Additional Common Parameters and Their End Points' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Additional Common Parameters and Their End Points.)"
Avoiding:,Avoiding,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Avoiding.",1.0,"Rate how strongly the text exhibits 'Avoiding' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Avoiding.)"
Home-security-system presence,Home-security-system presence,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Home-security-system presence.",1.0,"Rate how strongly the text exhibits 'Home-security-system presence' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Home-security-system presence.)"
HEXACO domain: Honesty-Humility,HEXACO domain: Honesty-Humility,Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of HEXACO domain: Honesty-Humility.",1.0,"Rate how strongly the text exhibits 'HEXACO domain: Honesty-Humility' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of HEXACO domain: Honesty-Humility.)"
Eating Habits (Home-Cooked vs. Eating Out),Eating Habits (Home-Cooked vs. Eating Out),Pragmatics & Behavior,"Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Eating Habits (Home-Cooked vs. Eating Out).",1.0,"Rate how strongly the text exhibits 'Eating Habits (Home-Cooked vs. Eating Out)' (Evaluates practical communication intentions, behavioral tendencies, and situational appropriateness of Eating Habits (Home-Cooked vs. Eating Out).)"
